q,K,digit,G,G2,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
24,0,1,409,599,0,21,21,14,10,7,5,2,2,1,1,28,31,22,14,10,7,4,3,2,1,1
24,0,2,409,535,0,21,21,14,10,7,5,2,2,1,1,27,28,21,16,10,6,4,3,2,2,1
24,1,0,599,677,28,31,22,14,10,7,4,3,2,1,1,0,41,34,22,15,9,7,5,4,3,2
24,1,1,599,644,28,31,22,14,10,7,4,3,2,1,1,0,43,31,22,16,11,7,5,2,2,2
24,1,0,535,578,27,28,21,16,10,6,4,3,2,2,1,0,40,30,21,16,10,8,5,2,1,1
24,1,1,535,573,27,28,21,16,10,6,4,3,2,2,1,0,40,32,22,14,11,5,4,4,2,2
24,1,2,535,519,27,28,21,16,10,6,4,3,2,2,1,0,41,32,23,15,8,6,4,3,3,1
24,2,0,677,895,0,41,34,22,15,9,7,5,4,3,2,48,50,35,20,16,12,9,6,3,2,2
24,2,1,677,954,0,41,34,22,15,9,7,5,4,3,2,50,47,33,23,15,10,8,6,5,3,1
24,2,2,677,944,0,41,34,22,15,9,7,5,4,3,2,47,48,36,27,17,11,7,5,4,3,2
24,2,0,644,827,0,43,31,22,16,11,7,5,2,2,2,49,50,34,23,14,10,8,4,3,2,1
24,2,1,644,860,0,43,31,22,16,11,7,5,2,2,2,50,45,34,26,18,12,5,3,3,3,2
24,2,2,644,874,0,43,31,22,16,11,7,5,2,2,2,45,49,33,21,16,10,8,7,3,2,2
24,2,0,578,715,0,40,30,21,16,10,8,5,2,1,1,43,45,32,21,16,10,6,3,3,1,1
24,2,1,578,729,0,40,30,21,16,10,8,5,2,1,1,45,48,32,22,14,9,6,4,1,1,1
24,2,2,578,724,0,40,30,21,16,10,8,5,2,1,1,48,43,32,23,15,10,7,4,2,2,1
24,2,0,573,727,0,40,32,22,14,11,5,4,4,2,2,46,45,32,22,15,11,5,4,3,2,1
24,2,1,573,765,0,40,32,22,14,11,5,4,4,2,2,45,46,31,21,15,10,7,5,3,1,1
24,2,2,573,706,0,40,32,22,14,11,5,4,4,2,2,46,46,34,22,13,8,6,4,3,2,1
24,2,0,519,667,0,41,32,23,15,8,6,4,3,3,1,43,46,33,21,14,8,6,4,3,1,0
24,2,1,519,622,0,41,32,23,15,8,6,4,3,3,1,46,47,30,19,13,9,6,3,2,1,0
24,2,2,519,672,0,41,32,23,15,8,6,4,3,3,1,47,43,32,23,13,8,5,4,2,2,1
24,3,0,895,916,48,50,35,20,16,12,9,6,3,2,2,0,68,51,36,24,16,12,9,5,2,1
24,3,1,895,897,48,50,35,20,16,12,9,6,3,2,2,0,72,53,35,22,17,11,6,5,4,2
24,3,2,895,896,48,50,35,20,16,12,9,6,3,2,2,0,64,52,35,25,18,12,8,4,2,2
24,3,0,954,1034,50,47,33,23,15,10,8,6,5,3,1,0,71,47,35,22,16,13,10,7,3,2
24,3,2,954,1069,50,47,33,23,15,10,8,6,5,3,1,0,64,52,33,27,18,11,8,5,5,4
24,3,0,944,993,47,48,36,27,17,11,7,5,4,3,2,0,68,57,41,26,16,10,9,5,4,3
24,3,1,944,1023,47,48,36,27,17,11,7,5,4,3,2,0,71,54,36,26,18,13,8,7,3,1
24,3,2,944,999,47,48,36,27,17,11,7,5,4,3,2,0,70,51,37,26,17,11,6,4,4,3
24,3,0,827,815,49,50,34,23,14,10,8,4,3,2,1,0,67,50,33,19,12,10,9,4,3,1
24,3,1,827,888,49,50,34,23,14,10,8,4,3,2,1,0,65,53,38,23,16,10,6,5,3,2
24,3,2,827,868,49,50,34,23,14,10,8,4,3,2,1,0,68,48,30,25,16,10,5,3,2,2
24,3,0,860,854,50,45,34,26,18,12,5,3,3,3,2,0,69,54,36,24,14,7,7,5,4,2
24,3,1,860,845,50,45,34,26,18,12,5,3,3,3,2,0,69,49,33,22,18,12,5,4,2,2
24,3,2,860,864,50,45,34,26,18,12,5,3,3,3,2,0,64,49,38,27,15,10,5,3,3,2
24,3,0,874,878,45,49,33,21,16,10,8,7,3,2,2,0,69,50,35,22,17,11,7,5,2,1
24,3,1,874,884,45,49,33,21,16,10,8,7,3,2,2,0,62,53,35,25,17,12,7,3,3,2
24,3,2,874,921,45,49,33,21,16,10,8,7,3,2,2,0,66,49,33,23,15,10,9,7,3,2
24,3,0,715,758,43,45,32,21,16,10,6,3,3,1,1,0,59,47,27,21,15,9,6,3,2,1
24,3,1,715,676,43,45,32,21,16,10,6,3,3,1,1,0,63,43,32,19,14,9,4,3,2,1
24,3,2,715,706,43,45,32,21,16,10,6,3,3,1,1,0,60,49,35,22,12,7,5,3,2,1
24,3,0,729,706,45,48,32,22,14,9,6,4,1,1,1,0,64,44,30,20,12,8,5,3,2,2
24,3,1,729,749,45,48,32,22,14,9,6,4,1,1,1,0,60,52,33,19,12,7,5,3,1,1
24,3,2,729,725,45,48,32,22,14,9,6,4,1,1,1,0,61,44,29,21,14,9,5,3,2,1
24,3,0,724,744,48,43,32,23,15,10,7,4,2,2,1,0,61,48,33,24,14,9,6,3,1,1
24,3,1,724,684,48,43,32,23,15,10,7,4,2,2,1,0,67,46,29,18,13,10,5,3,2,1
24,3,2,724,682,48,43,32,23,15,10,7,4,2,2,1,0,59,45,34,22,14,7,5,3,2,1
24,3,0,727,707,46,45,32,22,15,11,5,4,3,2,1,0,61,47,32,19,13,9,7,3,2,1
24,3,1,727,725,46,45,32,22,15,11,5,4,3,2,1,0,60,48,34,22,14,9,5,5,2,0
24,3,2,727,696,46,45,32,22,15,11,5,4,3,2,1,0,65,45,29,22,14,8,3,2,2,2
24,3,0,765,748,45,46,31,21,15,10,7,5,3,1,1,0,64,48,34,21,12,7,6,5,4,1
24,3,1,765,745,45,46,31,21,15,10,7,5,3,1,1,0,63,46,29,22,17,10,6,4,1,1
24,3,2,765,753,45,46,31,21,15,10,7,5,3,1,1,0,59,47,32,21,14,11,6,2,1,1
24,3,0,706,651,46,46,34,22,13,8,6,4,3,2,1,0,64,46,30,18,13,8,6,4,2,0
24,3,1,706,732,46,46,34,22,13,8,6,4,3,2,1,0,57,48,32,22,14,9,4,2,2,2
24,3,2,706,667,46,46,34,22,13,8,6,4,3,2,1,0,64,45,31,19,10,7,6,4,2,1
24,3,0,667,610,43,46,33,21,14,8,6,4,3,1,0,0,62,43,30,20,11,7,4,3,2,0
24,3,1,667,622,43,46,33,21,14,8,6,4,3,1,0,0,60,49,31,17,11,8,5,2,1,1
